0,1,2,3,4,5,6,2,3,4,5,2,3,4,2,3,4,2,3,4,2,3,4,2,3,4,2,3,4,0,1,2,3,4,5,6,2,3,2,3
16,17,18,19,20,21,22,18,19,20,21,18,19,20,18,19,20,18,19,20,18,19,20,18,19,20,18,19,20,16,17,18,19,20,21,22,18,19,18,19
32,33,34,35,36,37,38,34,35,36,37,34,35,36,34,35,36,34,35,36,34,35,36,34,35,36,34,35,36,32,33,34,35,36,37,38,34,35,34,35
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,160,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,12,13,14,15,12,13,14,15,12,13,14,15,12,13,14,15,51,51,51,51,51,51,51,51
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,28,29,30,31,28,29,30,31,28,29,30,31,28,29,30,31,51,51,51,51,51,51,51,51
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
51,51,51,51,51,51,51,51,51,51,51,51,12,13,14,15,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
51,51,51,51,51,51,51,51,51,51,51,51,28,29,30,31,86,87,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
51,51,51,51,51,51,51,51,51,110,111,42,43,51,110,111,44,45,46,47,8,9,10,11,44,45,46,47,104,105,106,107,44,45,51,51,51,51,51,51
51,51,51,51,51,51,51,51,51,126,127,58,59,51,126,127,60,61,62,63,24,25,26,27,60,61,62,63,120,121,122,123,60,61,82,82,82,82,65,51
51,51,51,51,51,72,73,72,73,142,143,42,43,51,142,143,76,77,78,79,40,40,40,41,76,77,78,79,136,137,138,139,76,77,108,109,140,141,51,51
80,81,82,86,87,88,89,88,89,158,159,58,59,85,158,159,92,93,94,95,56,56,56,57,92,93,94,95,152,153,154,155,92,93,124,125,156,157,85,86
98,99,100,101,102,98,99,100,101,102,97,98,99,100,97,98,99,100,101,102,101,102,101,102,100,101,102,100,101,102,101,102,100,101,102,100,100,100,101,102
114,115,116,117,118,114,115,116,117,118,113,114,115,116,113,114,115,116,117,118,117,118,117,118,116,117,118,116,117,118,117,118,116,117,118,116,116,116,117,118
130,131,132,133,134,130,131,132,133,134,129,130,131,132,129,130,131,132,133,134,133,134,133,134,132,133,134,132,133,134,133,134,132,133,134,132,132,132,133,134
146,147,148,149,150,146,147,148,149,150,145,146,147,148,145,146,147,148,149,150,149,150,149,150,148,149,150,148,149,150,149,150,148,149,150,148,148,148,149,150
